,iter,train_loss,valid_loss
0,0,7.8935018,3.8074899
1,1,7.070626,3.2609196
2,2,6.2634764,2.7732925
3,3,5.452022,2.3385649
4,4,4.6476097,1.9448689
5,5,3.8758233,1.6038206
6,6,3.1741493,1.27167
7,7,2.5702772,0.9108802
8,8,2.0835366,0.65612453
9,9,1.7115932,0.53511524
10,10,1.4272066,0.5329684
11,11,1.1994989,0.62380844
12,12,1.0117798,0.7614709
13,13,0.85166353,0.87945205
14,14,0.71373534,0.8939218
15,15,0.59449774,0.7762216
16,16,0.48978582,0.59756655
17,17,0.40992743,0.4438465
18,18,0.36879987,0.34997284
19,19,0.35846704,0.3137459
20,20,0.36448514,0.31679827
21,21,0.3762491,0.33556044
22,22,0.38910758,0.35731024
23,23,0.40188104,0.38576624
24,24,0.41434622,0.42200893
25,25,0.4255884,0.46030334
26,26,0.433662,0.49375257
27,27,0.4357788,0.51815593
28,28,0.43000376,0.5328864
29,29,0.4157191,0.53939164
30,30,0.39293897,0.54062897
31,31,0.36346126,0.5391048
32,32,0.33006555,0.53630936
33,33,0.29580623,0.5327182
34,34,0.26444542,0.5278961
35,35,0.23974523,0.5212825
36,36,0.22240274,0.5139737
37,37,0.21276283,0.50744784
38,38,0.20956492,0.5010396
39,39,0.21035035,0.49467114
40,40,0.21235082,0.48988134
41,41,0.21334288,0.48879755
42,42,0.21236716,0.49272752
43,43,0.20892322,0.5014618
44,44,0.20316792,0.51352966
45,45,0.19630584,0.5266808
46,46,0.18951431,0.5384415
47,47,0.18391906,0.5467132
48,48,0.17977262,0.55030125
49,49,0.17729686,0.5491767
50,50,0.17630129,0.5443615
51,51,0.17616631,0.5375163
52,52,0.17614987,0.530437
53,53,0.1761508,0.5246466
54,54,0.17541447,0.5211617
55,55,0.17365646,0.5204214
56,56,0.17103526,0.52232534
57,57,0.16763371,0.52633804
58,58,0.16389513,0.5316366
59,59,0.1599083,0.53728545
60,60,0.15646672,0.54242873
61,61,0.1534904,0.54644996
62,62,0.15110527,0.5490694
63,63,0.14926843,0.5503477
64,64,0.14750147,0.55060315
65,65,0.14588565,0.55028105
66,66,0.14412683,0.54981697
67,67,0.1423921,0.54953456
68,68,0.1403712,0.5495947
69,69,0.13811153,0.5499879
70,70,0.13575858,0.550585
71,71,0.13321862,0.55120504
72,72,0.13095586,0.55168366
73,73,0.12883534,0.55192554
74,74,0.1272452,0.5519201
75,75,0.12570524,0.55172956
76,76,0.12391237,0.55145746
77,77,0.12221838,0.5512088
78,78,0.120835155,0.55105394
79,79,0.11937665,0.5510162
80,80,0.11800434,0.5510692
81,81,0.11692314,0.55115134
82,82,0.115947396,0.55118656
83,83,0.1147024,0.5511073
84,84,0.11342082,0.55087584
85,85,0.112146884,0.55050117
86,86,0.1108045,0.5500355
87,87,0.10994944,0.54955953
88,88,0.10932647,0.5491735
89,89,0.10850105,0.5489504
90,90,0.10744767,0.5489335
91,91,0.1062357,0.54912186
92,92,0.10494573,0.5494768
93,93,0.103769206,0.5499305
94,94,0.10249366,0.5504039
95,95,0.10146781,0.55082923
96,96,0.10069143,0.5511694
97,97,0.09986255,0.5514075
98,98,0.09908071,0.55155027
99,99,0.098234095,0.5516249
100,100,0.09715456,0.55165875
101,101,0.096361205,0.5516721
102,102,0.09581717,0.5516794
103,103,0.09504433,0.5516869
104,104,0.094197094,0.5516907
105,105,0.09349537,0.5516876
106,106,0.09275183,0.55167323
107,107,0.09194903,0.55164075
108,108,0.09101499,0.5515875
109,109,0.090305455,0.551525
110,110,0.08972285,0.5514692
111,111,0.08935943,0.5514359
112,112,0.088919304,0.55143553
113,113,0.08831873,0.55147296
114,114,0.08759893,0.551542
115,115,0.08694208,0.5516287
116,116,0.08642414,0.5517201
117,117,0.08609893,0.55180514
118,118,0.085976005,0.55187076
119,119,0.085619,0.5519139
120,120,0.085163005,0.55193627
121,121,0.08484598,0.5519432
122,122,0.084804095,0.55194026
123,123,0.08494498,0.5519349
124,124,0.08495282,0.5519339
125,125,0.08509515,0.5519384
126,126,0.0849949,0.5519458
127,127,0.08493448,0.55195206
128,128,0.08469309,0.5519548
129,129,0.08431231,0.5519549
130,130,0.08442782,0.5519543
131,131,0.08426432,0.5519541
132,132,0.08408083,0.5519537
133,133,0.08392726,0.55195457
134,134,0.083707795,0.55195594
135,135,0.083645605,0.55195695
136,136,0.083608195,0.5519577
137,137,0.08371764,0.55195767
138,138,0.08374532,0.5519571
139,139,0.08378967,0.5519564
140,140,0.08387812,0.5519558
141,141,0.08373997,0.5519554
142,142,0.08357563,0.55195546
143,143,0.08350292,0.55195576
144,144,0.08368453,0.5519565
145,145,0.08366647,0.551957
146,146,0.08361425,0.55195755
147,147,0.08365329,0.55195796
148,148,0.08354178,0.5519582
149,149,0.083420485,0.551958
150,150,0.08337515,0.5519573
151,151,0.08351632,0.5519568
152,152,0.08360015,0.551957
153,153,0.08355531,0.55195785
154,154,0.08344497,0.55195826
155,155,0.08341866,0.5519576
156,156,0.08333671,0.55195636
157,157,0.083122365,0.55195606
158,158,0.08321458,0.5519568
159,159,0.08335997,0.5519576
160,160,0.08339125,0.55195767
161,161,0.0833795,0.5519575
162,162,0.08333639,0.55195665
163,163,0.08317317,0.5519556
164,164,0.08311617,0.55195546
165,165,0.08334469,0.5519566
166,166,0.08330391,0.5519578
167,167,0.08329105,0.5519579
168,168,0.08338835,0.551957
169,169,0.083361134,0.5519562
170,170,0.08335858,0.55195594
171,171,0.08314343,0.5519568
172,172,0.0832256,0.5519575
173,173,0.08333394,0.551958
174,174,0.08344562,0.55195826
175,175,0.08346117,0.55195796
176,176,0.08326512,0.55195767
177,177,0.08328008,0.5519577
178,178,0.08322038,0.5519577
179,179,0.08331249,0.5519579
180,180,0.08343075,0.551958
181,181,0.08327284,0.55195796
182,182,0.08328051,0.551958
183,183,0.08346449,0.5519582
184,184,0.0834258,0.5519582
185,185,0.08317668,0.55195826
186,186,0.08315066,0.55195826
187,187,0.08338852,0.55195826
188,188,0.08340721,0.5519582
189,189,0.08333099,0.5519582
190,190,0.08328821,0.5519582
191,191,0.08313864,0.55195814
192,192,0.08304793,0.55195814
193,193,0.08312874,0.5519582
194,194,0.08318006,0.5519582
195,195,0.0833958,0.5519581
196,196,0.083397105,0.55195796
197,197,0.08331269,0.5519578
198,198,0.08321607,0.5519581
199,199,0.08308998,0.5519582
200,200,0.083268404,0.55195796
201,201,0.08343229,0.5519578
202,202,0.083502345,0.5519578
203,203,0.08332595,0.551958
204,204,0.08331115,0.5519582
205,205,0.0833288,0.55195826
206,206,0.083153985,0.551958
207,207,0.08330425,0.55195767
208,208,0.083379835,0.5519574
209,209,0.083388135,0.55195796
210,210,0.08338316,0.55195826
211,211,0.08328363,0.5519578
212,212,0.08309547,0.55195796
213,213,0.083075576,0.5519582
214,214,0.083339565,0.551958
215,215,0.08340281,0.5519582
216,216,0.08334965,0.5519582
217,217,0.08333407,0.5519581
218,218,0.08339242,0.5519582
219,219,0.08341283,0.55195826
220,220,0.0833273,0.5519582
221,221,0.08324473,0.5519581
222,222,0.083248526,0.5519582
223,223,0.08341936,0.5519582
224,224,0.08344761,0.55195796
225,225,0.08340482,0.551958
226,226,0.083242625,0.5519581
227,227,0.08309502,0.5519581
228,228,0.083262436,0.5519581
229,229,0.08323613,0.5519581
230,230,0.08333755,0.55195796
231,231,0.08340995,0.5519579
232,232,0.08335168,0.5519575
233,233,0.08326691,0.5519577
234,234,0.08313559,0.5519581
235,235,0.083332665,0.5519576
236,236,0.08342218,0.55195725
237,237,0.08355669,0.5519577
238,238,0.08359349,0.55195796
239,239,0.08338862,0.5519582
240,240,0.08336624,0.5519582
241,241,0.08324966,0.5519582
242,242,0.08338609,0.55195814
243,243,0.08344258,0.55195785
244,244,0.08342328,0.5519576
245,245,0.08343221,0.5519574
246,246,0.08337473,0.5519581
247,247,0.08328593,0.55195826
248,248,0.083079174,0.5519578
249,249,0.083271645,0.55195755
250,250,0.08344034,0.5519575
251,251,0.08340987,0.5519577
252,252,0.08341584,0.5519582
253,253,0.08332146,0.5519581
254,254,0.083346516,0.5519577
255,255,0.08339888,0.5519573
256,256,0.083418466,0.55195713
257,257,0.083357885,0.5519581
258,258,0.08351154,0.5519581
259,259,0.08355577,0.5519576
260,260,0.0835381,0.5519578
261,261,0.08329884,0.551958
262,262,0.08323575,0.55195814
263,263,0.08334241,0.5519582
264,264,0.08348727,0.55195826
265,265,0.08345109,0.55195826
266,266,0.0833303,0.5519582
267,267,0.083393894,0.5519582
268,268,0.08332029,0.5519579
269,269,0.08311673,0.55195755
270,270,0.08322912,0.55195826
271,271,0.08338228,0.551958
272,272,0.08345539,0.5519577
273,273,0.08351312,0.55195796
274,274,0.08357365,0.5519582
275,275,0.08334393,0.55195826
276,276,0.08326299,0.55195826
277,277,0.083506495,0.5519582
278,278,0.08357633,0.5519582
279,279,0.083511814,0.5519582
280,280,0.083447635,0.55195796
281,281,0.08331319,0.55195796
282,282,0.083242856,0.5519582
283,283,0.08319486,0.5519582
284,284,0.08317655,0.5519581
285,285,0.08333224,0.5519581
286,286,0.083527885,0.5519581
287,287,0.08340838,0.5519582
288,288,0.083396845,0.551958
289,289,0.08333472,0.5519582
290,290,0.08328949,0.5519582
291,291,0.083481394,0.5519581
292,292,0.08360211,0.5519579
293,293,0.08347449,0.5519572
294,294,0.08336659,0.55195767
295,295,0.083495356,0.5519581
296,296,0.083447635,0.5519582
297,297,0.08329262,0.5519578
298,298,0.083428696,0.5519571
299,299,0.08341213,0.55195713
300,300,0.08358002,0.55195796
301,301,0.08352836,0.5519582
302,302,0.08340961,0.55195767
303,303,0.083359264,0.551957
304,304,0.08324768,0.5519572
305,305,0.08342692,0.551958
306,306,0.083407216,0.5519582
307,307,0.08345441,0.5519579
308,308,0.08348578,0.5519576
309,309,0.08347338,0.5519578
310,310,0.0834691,0.551958
311,311,0.08320747,0.5519582
312,312,0.083308116,0.5519582
313,313,0.08346791,0.55195796
314,314,0.083612144,0.5519578
315,315,0.08354282,0.5519576
316,316,0.08338032,0.5519574
317,317,0.083334856,0.55195785
318,318,0.08326259,0.5519581
319,319,0.083388425,0.55195755
320,320,0.08338459,0.5519573
321,321,0.083452106,0.5519575
322,322,0.08353252,0.5519581
323,323,0.083476074,0.5519582
324,324,0.08335793,0.5519582
325,325,0.08317231,0.5519581
326,326,0.083445504,0.551958
327,327,0.08365619,0.55195796
328,328,0.083663255,0.55195796
329,329,0.083465636,0.551958
330,330,0.083446175,0.5519582
331,331,0.08347314,0.5519581
332,332,0.08333488,0.55195814
333,333,0.08341765,0.5519582
334,334,0.0834179,0.5519582
335,335,0.0834853,0.5519582
336,336,0.08349934,0.5519581
337,337,0.083381645,0.5519582
338,338,0.08325263,0.5519582
339,339,0.083215095,0.5519582
340,340,0.08344577,0.551958
341,341,0.08354823,0.55195755
342,342,0.08353201,0.55195796
343,343,0.08349247,0.55195826
344,344,0.08346224,0.5519582
345,345,0.08348804,0.551958
346,346,0.083410196,0.5519581
347,347,0.083405554,0.5519582
348,348,0.08347574,0.551958
349,349,0.08354575,0.5519578
350,350,0.08360552,0.5519581
351,351,0.083522506,0.55195796
352,352,0.083386086,0.5519573
353,353,0.08324777,0.5519573
354,354,0.08338637,0.5519581
355,355,0.083586976,0.55195826
356,356,0.083475776,0.5519582
357,357,0.083480865,0.551958
358,358,0.08357116,0.55195796
359,359,0.08345071,0.55195796
360,360,0.0833356,0.55195796
361,361,0.083385445,0.55195785
362,362,0.08351985,0.5519581
363,363,0.08361669,0.5519579
364,364,0.08361958,0.5519568
365,365,0.083437994,0.5519561
366,366,0.08329763,0.55195796
367,367,0.08331431,0.5519582
368,368,0.08342001,0.55195796
369,369,0.083490424,0.5519576
370,370,0.08364399,0.5519572
371,371,0.083536685,0.55195636
372,372,0.08350386,0.5519575
373,373,0.08338442,0.55195814
374,374,0.083210856,0.551957
375,375,0.08348514,0.5519554
376,376,0.083596826,0.55195534
377,377,0.08362424,0.55195725
378,378,0.08352849,0.5519581
379,379,0.083500765,0.5519566
380,380,0.0834503,0.5519559
381,381,0.083350085,0.551957
382,382,0.08360798,0.5519579
383,383,0.08356605,0.5519582
384,384,0.083559364,0.5519582
385,385,0.08361411,0.5519577
386,386,0.08360851,0.5519572
387,387,0.083494745,0.55195725
388,388,0.08331217,0.55195796
389,389,0.083454125,0.5519582
390,390,0.083544426,0.55195796
391,391,0.08355634,0.5519578
392,392,0.083411925,0.55195796
393,393,0.083431944,0.5519581
394,394,0.08343865,0.5519582
395,395,0.08338013,0.5519582
396,396,0.08341802,0.55195826
397,397,0.083436154,0.55195826
398,398,0.083620444,0.5519582
399,399,0.08364457,0.5519582
400,400,0.083627306,0.551958
401,401,0.08341337,0.5519582
402,402,0.083258845,0.55195814
403,403,0.08347815,0.55195826
404,404,0.08361636,0.551958
405,405,0.08362787,0.5519579
406,406,0.08353852,0.5519581
407,407,0.08352855,0.5519578
408,408,0.083486415,0.5519576
409,409,0.08323215,0.55195755
410,410,0.08340979,0.5519582
411,411,0.083609626,0.551958
412,412,0.08365576,0.55195755
